"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1974 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1975 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1976 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1977 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1978 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1979 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1980 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1981 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1982 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1983 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1984 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1985 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1986 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1987 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1988 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1989 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1990 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1991 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1992 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1993 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1994 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1995 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1996 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1997 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1998 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1999 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2000 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2001 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2002 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2003 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2004 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2005 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2006 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2007 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2008 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2009 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2010 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2011 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2012 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2013 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2014 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2015 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2016 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2017 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2018 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2019 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2020 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2021 (ha)"
"Acegu�","4300034","-31.860759999990","-54.167059999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8.000","8.034","9.747","11.604","9.500","5.000","4.183","4.183","11.000","11.000","11.223","5.850","10.000","9.500","10.000","8.000","10.254","9.770","8.249","8.249","7.229"
"�gua Santa","4300059","-28.167200000000","-52.030999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","125","125","35","125","125","110","110","90","90","90","107","60","25","10","10","10","-","4","4","2","2","2","2","-","-","-","-","-","-","-","-","-","-"
"Agudo","4300109","-29.644700000000","-53.251500000000","3.513","3.473","3.907","4.083","4.350","3.331","3.800","4.561","4.700","4.600","4.880","4.880","4.825","4.900","4.900","5.605","5.700","5.900","6.100","6.500","6.600","6.650","6.800","6.850","5.888","6.850","6.950","6.720","8.080","8.060","8.100","8.100","8.100","8.986","9.000","9.255","5.892","9.255","9.029","9.184","9.065","9.253","7.640","9.108","9.100","9.050","9.017","9.145"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","100","100","100","100","-","100","90","90","190","170","250","250","280","300","140","300","300","250","250","310","310","310","180","140","140","110","110","60","40","30","30","30","30","20","20","10","10","5","5","-","-","-","-","-","-","-","-","-"
"Alecrim","4300307","-27.657900000000","-54.764899999990","60","80","60","50","50","50","60","70","70","20","20","30","30","10","10","10","10","10","10","10","10","10","23","10","10","10","10","10","10","10","10","-","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1"
"Alegrete","4300406","-29.790199999990","-55.794899999990","14.688","15.469","19.531","18.000","15.450","23.857","26.000","22.550","23.000","30.000","35.000","35.000","38.000","42.000","44.054","41.010","36.010","43.010","46.010","46.010","46.010","44.210","46.800","34.000","40.000","46.000","42.000","45.000","49.000","44.000","49.600","48.731","50.000","47.500","50.000","54.000","57.200","60.203","57.262","58.350","59.778","59.611","49.343","56.762","56.305","49.641","53.240","50.178"
"Alegria","4300455","-27.834499999990","-54.055700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","34","34","36","36","36","36","16","23","16","10","10","10","10","10","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Almirante Tamandar� do Sul","4300471","-28.108599999990","-52.911900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","50","40","40","20","15","10","10","10","8","-","5","-","-","-","-","-","-","-","-","-","-"
"Alpestre","4300505","-27.250200000000","-53.034100000000","70","162","220","220","100","400","300","328","325","180","180","130","132","135","100","110","110","0","20","20","31","31","147","30","30","150","150","150","150","150","150","150","150","150","150","150","70","5","3","2","1","1","1","3","5","5","5","5"
"Alto Alegre","4300554","-28.776900000000","-52.989199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25","25","3","15","10","10","10","24","10","5","10","10","10","10","5","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Alto Feliz","4300570","-29.391900000000","-51.312300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","13","13","8","5","8","6","6","6","6","6","6","6","2","2","2","2","2","2","1","2","-","-","-","-","-","-","-","-","-"
"Alvorada","4300604","-29.991399999990","-51.080900000000","15","133","272","210","150","130","150","70","40","40","40","150","220","230","230","80","50","50","50","48","48","120","220","94","-","87","133","90","84","92","48","-","70","50","75","140","140","45","90","135","145","80","80","70","47","47","-","47"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","430","580","580","530","530","515","650","320","550","530","355","355","403","453","453","850","600","600","550","550","550","550","550","550","500","500","506","506","506","506","206","153","219"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","45","30","30","18","30","30","19","19","19","19","19","19","19","19","19","19","19","19","10","-","-","-","-","-","5","-","5","5","3"
"Andr� da Rocha","4300661","-28.628299999990","-51.579700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","80","80","80","40","40","20","20","15","15","15","10","5","3","3","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","77","340","300","275","315","450","380","103","110","110","110","110","110","110","110","110","110","0","110","110","110","110","88","108","108","108","80","80","80","80","40","-","40","40","40","20","20","20","20","20","10","10","10","10","10","5","5","4"
"Ant�nio Prado","4300802","-28.856500000000","-51.288300000000","40","40","32","100","60","60","70","138","138","100","100","100","100","100","70","40","40","40","45","40","30","20","-","5","-","-","3","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arambar�","4300851","-30.909300000000","-51.504600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","11.000","11.000","11.200","11.500","11.200","11.200","11.744","11.744","11.500","11.500","11.500","12.812","10.303","12.256","14.550","15.785","15.100","15.497","16.607","14.350","13.373","13.373","15.000","13.690","13.528","12.400","14.104","13.719","12.403"
"Araric�","4300877","-29.616800000000","-50.929099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","-","-","-"
"Aratiba","4300901","-27.397800000000","-52.297499999990","240","245","245","240","300","-","250","280","280","220","220","220","220","220","200","200","200","100","110","76","76","76","76","76","40","30","30","15","20","20","20","-","20","20","20","20","15","20","10","-","-","-","-","-","-","-","-","-"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","60","30","40","60","50","40","45","171","170","160","155","150","145","145","130","110","80","80","40","20","20","20","7","15","15","7","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio do Padre","4301073","-31.431600000000","-52.417099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","50","50","50","50","50","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","30","60","55","150","150","138","150","143","150","100","100","100","25","200","140","200","200","30","150","150","150","150","100","85","20","60","60","60","30","20","20","-","20","20","20","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","140","76","83","250","280","154","80","170","210","100","150","100","100","100","100","30","30","30","100","100","100","70","41","50","50","40","40","60","70","4","-","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","18.500","20.372","20.602","28.000","20.325","22.631","25.500","23.770","24.000","24.000","22.800","21.000","24.000","24.000","24.000","29.400","18.500","32.000","37.000","37.650","37.650","39.000","32.000","32.866","33.650","40.000","34.200","35.275","35.000","33.460","36.000","35.532","39.000","38.074","41.089","41.757","40.257","41.817","36.440","35.797","40.000","41.200","41.936","44.733","41.766","32.208","30.263","34.031"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","60","590","534","782","905","930","900","381","381","400","400","400","400","400","400","310","310","310","310","142","110","110","48","35","35","35","15","15","15","15","15","-","15","15","15","15","10","10","6","4","4","4","4","4","4","2","1","1"
"Augusto Pestana","4301503","-28.517299999990","-53.988300000000","50","50","50","50","-","50","50","50","50","277","200","110","170","180","200","50","150","150","50","40","40","40","13","30","15","5","5","5","5","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"�urea","4301552","-27.693600000000","-52.050500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","360","360","0","300","165","165","165","93","85","30","50","50","25","8","8","12","-","5","5","15","15","15","15","15","10","5","5","4","4","4","-","-","-"
"Bag�","4301602","-31.329699999990","-54.099899999990","2.500","2.987","7.570","10.000","12.300","13.448","15.000","13.260","14.500","13.500","18.000","17.000","17.000","18.500","17.000","15.000","2.800","15.000","17.000","18.000","18.000","18.000","17.200","17.000","19.390","21.560","20.349","12.000","13.360","12.100","13.636","13.205","10.965","4.730","10.384","12.000","12.000","13.111","7.614","9.891","10.000","10.000","10.935","11.541","10.248","8.888","8.253","8.532"
