"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1974 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1975 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1976 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1977 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1978 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1979 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1980 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1981 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1982 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1983 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1984 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1985 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1986 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1987 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1988 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1989 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1990 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1991 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1992 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1993 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1994 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1995 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1996 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1997 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1998 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1999 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2000 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2001 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2002 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2003 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2004 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2005 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2006 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2007 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2008 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2009 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2010 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2011 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2012 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2013 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2014 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2015 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2016 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2017 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2018 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2019 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2020 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2021 (t)"
"Acegu�","4300034","-31.860759999990","-54.167059999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","38.928","44.107","53.511","72.595","57.637","32.000","25.014","25.161","87.032","87.032","94.430","37.908","72.000","80.750","85.230","56.000","87.159","73.275","65.167","65.167","66.391"
"�gua Santa","4300059","-28.167200000000","-52.030999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","195","195","63","195","195","150","150","90","90","90","107","60","25","10","10","10","-","4","4","2","2","2","2","-","-","-","-","-","-","-","-","-","-"
"Agudo","4300109","-29.644700000000","-53.251500000000","12.780","12.441","13.967","16.332","17.850","12.512","14.060","20.525","24.910","16.330","26.080","29.960","26.903","26.700","28.010","35.482","30.440","36.570","33.200","40.250","37.690","40.860","43.800","49.662","22.822","47.724","44.938","31.406","57.276","36.673","52.083","60.750","56.068","63.801","68.706","74.105","32.052","76.830","76.972","75.272","68.459","70.323","50.424","74.339","76.167","66.065","73.516","78.647"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","150","250","300","300","-","150","225","108","372","372","720","520","750","600","72","750","750","150","1.000","1.260","960","960","309","320","320","260","240","130","94","90","72","22","108","48","40","20","24","12","4","-","-","-","-","-","-","-","-","-"
"Alecrim","4300307","-27.657900000000","-54.764899999990","72","176","132","132","50","25","30","70","35","10","10","15","15","9","6","12","12","9","9","9","9","9","14","12","12","12","12","12","12","12","12","-","8","8","8","8","8","8","8","8","2","2","2","2","2","2","2","2"
"Alegrete","4300406","-29.790199999990","-55.794899999990","58.080","68.417","79.818","79.200","58.100","75.054","114.400","94.710","79.950","104.550","150.500","154.000","167.200","189.000","220.015","129.657","180.015","204.265","253.055","253.055","191.375","221.015","238.633","187.000","180.000","266.800","193.200","281.250","256.025","193.600","332.320","340.727","390.000","346.750","350.000","405.000","383.240","494.869","460.959","425.955","461.785","495.964","357.391","504.955","510.010","372.705","479.160","486.727"
"Alegria","4300455","-27.834499999990","-54.055700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","34","54","57","57","57","57","39","36","36","12","12","12","12","12","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Almirante Tamandar� do Sul","4300471","-28.108599999990","-52.911900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","90","60","72","30","8","18","18","17","12","-","9","-","-","-","-","-","-","-","-","-","-"
"Alpestre","4300505","-27.250200000000","-53.034100000000","70","144","318","198","40","60","180","295","200","194","230","159","129","74","88","97","97","0","30","40","77","65","139","30","60","300","600","600","600","600","600","600","600","600","600","225","105","9","1","1","2","2","2","9","10","23","23","16"
"Alto Alegre","4300554","-28.776900000000","-52.989199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","38","63","1","54","35","20","21","19","5","7","14","12","11","10","5","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Alto Feliz","4300570","-29.391900000000","-51.312300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","12","7","12","9","10","10","10","10","10","10","4","4","4","4","4","4","2","5","-","-","-","-","-","-","-","-","-"
"Alvorada","4300604","-29.991399999990","-51.080900000000","38","425","789","525","360","232","450","245","172","125","156","660","1.001","1.058","1.035","144","210","215","250","230","96","552","880","404","-","374","572","387","361","409","204","-","417","260","405","994","994","392","563","979","870","400","376","350","226","165","-","297"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.821","2.505","2.505","2.058","2.518","2.268","2.760","1.370","2.535","2.161","1.756","1.578","2.005","2.480","2.480","3.100","2.650","2.650","2.788","2.675","2.675","2.274","2.900","2.900","2.600","2.600","3.012","3.012","3.012","3.012","1.152","751","1.247"
